start_station_name,end_station_name,trips,start_lat,start_lng,end_lat,end_lng
46 Ave & 5 St,Vernon Blvd & 50 Ave,3295,40.74731,-73.95451,40.74233,-73.95412
10 Ave & W 28 St,W 26 St & 8 Ave,3256,40.750664,-74.00177,40.74735,-73.99724
West St & Chambers St,12 Ave & W 40 St,3247,40.71755,-74.01322,40.760876,-74.00278
Vernon Blvd & 50 Ave,McGuinness Blvd & Eagle St,3242,40.74233,-73.95412,40.73555,-73.95284
West St & Liberty St,West St & Chambers St,3229,40.711445,-74.01485,40.71755,-74.01322
Central Park S & 6 Ave,Central Park North & Adam Clayton Powell Blvd,3227,40.76591,-73.97634,40.799484,-73.95561
Franklin St & Dupont St,Vernon Blvd & 50 Ave,3200,40.73564,-73.95866,40.74233,-73.95412
5 Ave & E 78 St,5 Ave & E 78 St,3178,40.77632,-73.96427,40.77632,-73.96427
West St & Liberty St,West St & Liberty St,3171,40.711445,-74.01485,40.711445,-74.01485
11 Ave & W 41 St,8 Ave & W 33 St,3165,40.7603,-73.99884,40.751553,-73.993935
Brooklyn Bridge Park - Pier 2,Brooklyn Bridge Park - Pier 2,3101,40.69846,-73.99718,40.69846,-73.99718
Canal St & Rutgers St,Henry St & Grand St,3098,40.714275,-73.9899,40.71421,-73.981094
Vernon Blvd & 50 Ave,Franklin St & Dupont St,3069,40.74233,-73.95412,40.73564,-73.95866
5 Ave & E 93 St,5 Ave & E 93 St,3017,40.785786,-73.95748,40.785786,-73.95748
9 Ave & W 22 St,W 21 St & 6 Ave,2997,40.7455,-74.00197,40.74174,-73.994156
W 84 St & Columbus Ave,Columbus Ave & W 72 St,2989,40.785,-73.97283,40.777058,-73.97898
Broadway & Berry St,N 6 St & Bedford Ave,2980,40.710445,-73.96525,40.717453,-73.95851
Central Park S & 6 Ave,5 Ave & E 72 St,2971,40.76591,-73.97634,40.772827,-73.96685
Henry St & Grand St,Canal St & Rutgers St,2958,40.71421,-73.981094,40.714275,-73.9899
West St & Liberty St,Little West St & 1 Pl,2941,40.711445,-74.01485,40.705692,-74.01678
Center Blvd & 51 Ave,Vernon Blvd & 50 Ave,2935,40.743366,-73.95961,40.74233,-73.95412
W 21 St & 6 Ave,W 15 St & 7 Ave,2931,40.74174,-73.994156,40.739357,-73.99932
45 Ave & 21 St,46 Ave & 5 St,2924,40.74737,-73.94777,40.74731,-73.95451
Centre St & Worth St,Centre St & Chambers St,2924,40.714947,-74.00234,40.712734,-74.00461
W 20 St & 10 Ave,W 21 St & 6 Ave,2904,40.745686,-74.00514,40.74174,-73.994156
Vernon Blvd & 50 Ave,46 Ave & 5 St,2883,40.74233,-73.95412,40.74731,-73.95451
46 Ave & 5 St,45 Ave & 21 St,2867,40.74731,-73.95451,40.74737,-73.94777
11 Ave & W 41 St,W 42 St & 8 Ave,2862,40.7603,-73.99884,40.75757,-73.99098
6 Ave & W 33 St,E 33 St & 1 Ave,2862,40.749012,-73.98849,40.743225,-73.974495
S 5 Pl & S 5 St,S 5 Pl & S 5 St,2851,40.71045,-73.96088,40.71045,-73.96088
Greenwich St & W Houston St,Pier 40 - Hudson River Park,2849,40.728848,-74.00859,40.727715,-74.0113
Kent Ave & N 7 St,Milton St & Franklin St,2844,40.720367,-73.96165,40.72906,-73.95779
W 26 St & 8 Ave,10 Ave & W 28 St,2835,40.74735,-73.99724,40.750664,-74.00177
W 20 St & 10 Ave,W 20 St & 8 Ave,2813,40.745686,-74.00514,40.743454,-74.00004
Riverside Blvd & W 67 St,Riverside Blvd & W 67 St,2750,40.777508,-73.988884,40.777508,-73.988884
N 6 St & Bedford Ave,Broadway & Berry St,2742,40.717453,-73.95851,40.710445,-73.96525
2 Ave & E 72 St,E 72 St & York Ave,2741,40.76876,-73.958405,40.76664,-73.95348
Central Park S & 6 Ave,Central Park West & W 72 St,2740,40.76591,-73.97634,40.775795,-73.976204
W 70 St & Amsterdam Ave,Riverside Blvd & W 67 St,2738,40.77748,-73.98289,40.777508,-73.988884
W 21 St & 6 Ave,W 22 St & 8 Ave,2729,40.74174,-73.994156,40.74475,-73.99915
10 Ave & W 14 St,10 Ave & W 14 St,2726,40.74198,-74.008316,40.74198,-74.008316
E 33 St & 1 Ave,6 Ave & W 33 St,2700,40.743225,-73.974495,40.749012,-73.98849
Central Park West & W 85 St,Central Park West & W 85 St,2694,40.78476,-73.969864,40.78476,-73.969864
North Moore St & Greenwich St,Vesey Pl & River Terrace,2685,40.720196,-74.0103,40.71534,-74.01659
W 22 St & 8 Ave,W 22 St & 10 Ave,2681,40.74475,-73.99915,40.746918,-74.00452
S 3 St & Bedford Ave,N 6 St & Bedford Ave,2675,40.712605,-73.96265,40.717453,-73.95851
River Ter & Warren St,Vesey Pl & River Terrace,2667,40.717598,-74.01588,40.71534,-74.01659
Grand Army Plaza & Central Park S,5 Ave & E 87 St,2658,40.764397,-73.97372,40.782322,-73.95988
Parade Pl & Crooke Ave,Parade Pl & Crooke Ave,2653,40.651848,-73.96525,40.651848,-73.96525
E 33 St & 1 Ave,W 31 St & 7 Ave,2651,40.743225,-73.974495,40.749157,-73.9916
12 Ave & W 40 St,Pier 40 - Hudson River Park,2647,40.760876,-74.00278,40.727715,-74.0113
Broadway & W 41 St,6 Ave & W 34 St,2645,40.755135,-73.98658,40.74964,-73.98805
11 Ave & W 27 St,W 26 St & 8 Ave,2638,40.751396,-74.005226,40.74735,-73.99724
W 70 St & Amsterdam Ave,W 64 St & Thelonious Monk Circle,2630,40.77748,-73.98289,40.775158,-73.98919
1 Ave & E 68 St,E 68 St & 3 Ave,2598,40.765007,-73.95818,40.767128,-73.96225
Pier 40 - Hudson River Park,West St & Liberty St,2594,40.727715,-74.0113,40.711445,-74.01485
Kent Ave & N 7 St,Franklin St & Dupont St,2591,40.720367,-73.96165,40.73564,-73.95866
E 77 St & 3 Ave,1 Ave & E 78 St,2588,40.773144,-73.958565,40.771404,-73.953514
Willoughby St & Fleet St,Adelphi St & Myrtle Ave,2586,40.691967,-73.9813,40.69308,-73.97179
10 Ave & W 14 St,West St & Liberty St,2583,40.74198,-74.008316,40.711445,-74.01485
Grand Army Plaza & Central Park S,Central Park S & 6 Ave,2574,40.764397,-73.97372,40.76591,-73.97634
Richardson St & N Henry St,Graham Ave & Conselyea St,2562,40.719078,-73.94224,40.71514,-73.9445
Amsterdam Ave & W 73 St,Amsterdam Ave & W 82 St,2561,40.779667,-73.980934,40.785248,-73.97668
E 68 St & 3 Ave,1 Ave & E 68 St,2543,40.767128,-73.96225,40.765007,-73.95818
Motorgate,Motorgate,2542,40.76391,-73.94772,40.76391,-73.94772
W 26 St & 10 Ave,W 26 St & 8 Ave,2509,40.749718,-74.00295,40.74735,-73.99724
E 102 St & 1 Ave,2 Ave & E 96 St,2508,40.786995,-73.94165,40.783962,-73.94717
E 32 St & Park Ave,E 33 St & 1 Ave,2483,40.745712,-73.98195,40.743225,-73.974495
Central Park West & W 68 St,Central Park West & W 72 St,2477,40.773407,-73.97783,40.775795,-73.976204
9 Ave & W 18 St,W 17 St & 8 Ave,2476,40.743176,-74.00366,40.741776,-74.001495
Wards Meadow Comfort Station,Wards Meadow Comfort Station,2471,40.78294,-73.93077,40.78294,-73.93077
Washington Square E,University Pl & E 14 St,2459,40.730495,-73.99572,40.734814,-73.99209
11 Ave & W 59 St,W 59 St & 10 Ave,2457,40.771496,-73.99046,40.77051,-73.98804
1 Ave & E 78 St,E 85 St & 3 Ave,2446,40.771404,-73.953514,40.77801,-73.95407
7 Ave & Central Park South,5 Ave & E 87 St,2444,40.76674,-73.97907,40.782322,-73.95988
N 6 St & Bedford Ave,Wythe Ave & Metropolitan Ave,2441,40.717453,-73.95851,40.71689,-73.963196
West St & Chambers St,West St & Liberty St,2440,40.71755,-74.01322,40.711445,-74.01485
3 St & Prospect Park West,3 St & Prospect Park West,2429,40.668133,-73.97364,40.668133,-73.97364
E 27 St & 1 Ave,E 25 St & 2 Ave,2415,40.739445,-73.97681,40.739124,-73.97974
W 42 St & 6 Ave,11 Ave & W 41 St,2410,40.75492,-73.98455,40.7603,-73.99884
Riverside Blvd & W 67 St,W 70 St & Amsterdam Ave,2402,40.777508,-73.988884,40.77748,-73.98289
5 Ave & E 72 St,Central Park West & W 72 St,2390,40.772827,-73.96685,40.775795,-73.976204
W 21 St & 6 Ave,W 20 St & 10 Ave,2385,40.74174,-73.994156,40.745686,-74.00514
Central Park West & W 72 St,5 Ave & E 72 St,2385,40.775795,-73.976204,40.772827,-73.96685
W 15 St & 6 Ave,W 21 St & 6 Ave,2364,40.738045,-73.99643,40.74174,-73.994156
Columbus Ave & W 72 St,W 63 St & Broadway,2363,40.777058,-73.97898,40.771637,-73.98261
Cleveland Pl & Spring St,Cleveland Pl & Spring St,2363,40.722103,-73.997246,40.722103,-73.997246
W 26 St & 8 Ave,11 Ave & W 27 St,2360,40.74735,-73.99724,40.751396,-74.005226
W 16 St & The High Line,8 Ave & W 16 St,2355,40.74335,-74.00682,40.740982,-74.0017
5 Ave & E 63 St,5 Ave & E 63 St,2340,40.76637,-73.97152,40.76637,-73.97152
Vesey Pl & River Terrace,North Moore St & Greenwich St,2336,40.71534,-74.01659,40.720196,-74.0103
Central Park West & W 76 St,Central Park West & W 76 St,2335,40.77897,-73.97375,40.77897,-73.97375
1 Ave & E 68 St,1 Ave & E 62 St,2326,40.765007,-73.95818,40.761227,-73.96094
Clinton St & Grand St,Clinton St & Cherry St,2317,40.715595,-73.98703,40.71147,-73.986725
E 85 St & York Ave,E 85 St & 3 Ave,2306,40.775368,-73.94804,40.77801,-73.95407
Henry St & Grand St,Clinton St & Grand St,2302,40.71421,-73.981094,40.715595,-73.98703
Huron St & Franklin St,Kent Ave & N 7 St,2296,40.73266,-73.95826,40.720367,-73.96165
Central Park W & W 91 St,Central Park W & W 91 St,2296,40.788666,-73.9668,40.788666,-73.9668
5 Ave & E 78 St,5 Ave & E 72 St,2294,40.77632,-73.96427,40.772827,-73.96685
W 70 St & Amsterdam Ave,West End Ave & W 60 St,2291,40.77748,-73.98289,40.77237,-73.99005
Vernon Blvd & 50 Ave,Center Blvd & 51 Ave,2289,40.74233,-73.95412,40.743366,-73.95961
E 7 St & Avenue A,Cooper Square & Astor Pl,2282,40.72622,-73.983795,40.729515,-73.99075
W 20 St & 10 Ave,W 20 St & 7 Ave,2281,40.745686,-74.00514,40.74239,-73.99726
University Pl & E 14 St,University Pl & E 14 St,2279,40.734814,-73.99209,40.734814,-73.99209
3 Ave & E 62 St,1 Ave & E 68 St,2275,40.763126,-73.96527,40.765007,-73.95818
E 33 St & 1 Ave,6 Ave & W 34 St,2273,40.743225,-73.974495,40.74964,-73.98805
Central Park S & 6 Ave,5 Ave & E 93 St,2258,40.76591,-73.97634,40.785786,-73.95748
E 40 St & Park Ave,E 27 St & Park Ave S,2258,40.750755,-73.978325,40.742752,-73.98472
E 33 St & 1 Ave,2 Ave & E 31 St,2257,40.743225,-73.974495,40.74291,-73.97706
Kent Ave & N 7 St,Huron St & Franklin St,2256,40.720367,-73.96165,40.73266,-73.95826
E 40 St & Park Ave,E 33 St & 1 Ave,2255,40.750755,-73.978325,40.743225,-73.974495
Plaza St East & Flatbush Ave,Plaza St East & Flatbush Ave,2245,40.673134,-73.96911,40.673134,-73.96911
E 31 St & 3 Ave,W 31 St & 7 Ave,2238,40.743942,-73.97966,40.749157,-73.9916
1 Ave & E 16 St,E 23 St & 1 Ave,2236,40.73222,-73.98166,40.736504,-73.978096
6 Ave & W 34 St,Broadway & W 41 St,2234,40.74964,-73.98805,40.755135,-73.98658
University Pl & E 8 St,University Pl & E 14 St,2232,40.731438,-73.9949,40.734814,-73.99209
Driggs Ave & N Henry St,Driggs Ave & N 9 St,2224,40.72325,-73.94308,40.71817,-73.9552
W 29 St & 9 Ave,9 Ave & W 22 St,2215,40.750072,-73.99839,40.7455,-74.00197
11 Ave & W 41 St,11 Ave & W 41 St,2215,40.7603,-73.99884,40.7603,-73.99884
11 Ave & W 41 St,W 44 St & 11 Ave,2210,40.7603,-73.99884,40.76201,-73.99698
2 Ave & E 72 St,1 Ave & E 78 St,2208,40.76876,-73.958405,40.771404,-73.953514
W 64 St & Thelonious Monk Circle,W 70 St & Amsterdam Ave,2206,40.775158,-73.98919,40.77748,-73.98289
1 Ave & E 30 St,2 Ave & E 29 St,2202,40.741444,-73.97536,40.741722,-73.978096
Central Park North & Adam Clayton Powell Blvd,7 Ave & Central Park South,2196,40.799484,-73.95561,40.76674,-73.97907
1 Ave & E 68 St,E 88 St & 1 Ave,2196,40.765007,-73.95818,40.7783,-73.948814
West St & Chambers St,Christopher St & Greenwich St,2195,40.71755,-74.01322,40.732914,-74.00711
E 47 St & Park Ave,W 41 St & 8 Ave,2180,40.755104,-73.97498,40.756405,-73.99003
Centre St & Chambers St,Cadman Plaza E & Tillary St,2178,40.712734,-74.00461,40.695976,-73.99015
Graham Ave & Conselyea St,Richardson St & N Henry St,2178,40.71514,-73.9445,40.719078,-73.94224
India St & Manhattan Ave,Franklin St & Dupont St,2165,40.732323,-73.955086,40.73564,-73.95866
Vesey Pl & River Terrace,Vesey Pl & River Terrace,2157,40.71534,-74.01659,40.71534,-74.01659
Amsterdam Ave & W 79 St,Amsterdam Ave & W 73 St,2151,40.78294,-73.97865,40.779667,-73.980934
Atlantic Ave & Furman St,Atlantic Ave & Furman St,2146,40.69165,-73.99998,40.69165,-73.99998
Grand Army Plaza & Central Park S,5 Ave & E 72 St,2142,40.764397,-73.97372,40.772827,-73.96685
West St & Chambers St,W 22 St & 10 Ave,2140,40.71755,-74.01322,40.746918,-74.00452
West Thames St,West Thames St,2135,40.708347,-74.017136,40.708347,-74.017136
Center Blvd & 51 Ave,Center Blvd & 51 Ave,2132,40.743366,-73.95961,40.743366,-73.95961
West Thames St,West St & Liberty St,2126,40.708347,-74.017136,40.711445,-74.01485
E 27 St & 1 Ave,W 31 St & 7 Ave,2126,40.739445,-73.97681,40.749157,-73.9916
Franklin St & Dupont St,Kent Ave & N 7 St,2124,40.73564,-73.95866,40.720367,-73.96165
Broadway & W 53 St,W 53 St & 10 Ave,2120,40.76344,-73.98268,40.766697,-73.990616
E 33 St & 1 Ave,E 40 St & Park Ave,2109,40.743225,-73.974495,40.750755,-73.978325
9 Ave & W 22 St,W 22 St & 8 Ave,2107,40.7455,-74.00197,40.74475,-73.99915
6 Ave & W 33 St,6 Ave & W 45 St,2101,40.749012,-73.98849,40.75695,-73.98263
Nassau Ave & Russell St,Driggs Ave & N 9 St,2092,40.72557,-73.94434,40.71817,-73.9552
West St & Liberty St,10 Ave & W 14 St,2084,40.711445,-74.01485,40.74198,-74.008316
11 Ave & W 41 St,W 34 St &\tHudson Blvd E,2080,40.7603,-73.99884,40.75517,-74.0006
W 54 St & 9 Ave,9 Ave & W 45 St,2079,40.76585,-73.98691,40.760193,-73.99126
Franklin St & Dupont St,India St & Manhattan Ave,2074,40.73564,-73.95866,40.732323,-73.955086
E 27 St & 1 Ave,2 Ave & E 29 St,2070,40.739445,-73.97681,40.741722,-73.978096
Broadway & W 29 St,Broadway & W 25 St,2063,40.7462,-73.988556,40.74287,-73.98919
1 Ave & E 39 St,1 Ave & E 44 St,2058,40.74714,-73.97113,40.75002,-73.969055
E 10 St & Avenue A,Ave A & E 14 St,2057,40.72741,-73.98142,40.730312,-73.98047
Kent Ave & N 7 St,India St Pier,2051,40.720367,-73.96165,40.731735,-73.96124
Washington St & Gansevoort St,Washington St & Gansevoort St,2046,40.739323,-74.00812,40.739323,-74.00812
W 21 St & 6 Ave,6 Ave & W 33 St,2037,40.74174,-73.994156,40.749012,-73.98849
12 Ave & W 125 St,12 Ave & W 125 St,2035,40.8183,-73.9604,40.8183,-73.9604
E 27 St & Park Ave S,E 40 St & Park Ave,2035,40.742752,-73.98472,40.750755,-73.978325
E 7 St & Ave B,Cooper Square & Astor Pl,2032,40.72513,-73.981316,40.729515,-73.99075
W 29 St & 9 Ave,9 Ave & W 18 St,2031,40.750072,-73.99839,40.743176,-74.00366
Little West St & 1 Pl,West St & Chambers St,2029,40.705692,-74.01678,40.71755,-74.01322
9 Ave & W 22 St,9 Ave & W 18 St,2029,40.7455,-74.00197,40.743176,-74.00366
W 89 St & Columbus Ave,Columbus Ave & W 72 St,2025,40.78822,-73.97041,40.777058,-73.97898
Old Slip & South St,South St & Gouverneur Ln,2023,40.703365,-74.007866,40.703552,-74.0067
Pier 40 - Hudson River Park,Pier 40 - Hudson River Park,2022,40.727715,-74.0113,40.727715,-74.0113
Central Park S & 6 Ave,5 Ave & E 78 St,2018,40.76591,-73.97634,40.77632,-73.96427
W 21 St & 6 Ave,10 Ave & W 28 St,2014,40.74174,-73.994156,40.750664,-74.00177
West St & Chambers St,Washington St & Gansevoort St,2012,40.71755,-74.01322,40.739323,-74.00812
Kingsland Ave & Nassau Ave,Leonard St & Nassau Ave,2008,40.72577,-73.94173,40.723957,-73.949844
E 11 St & Avenue B,Ave A & E 14 St,2008,40.727463,-73.97951,40.730312,-73.98047
Kent Ave & N 7 St,Kent Ave & N 7 St,2005,40.720367,-73.96165,40.720367,-73.96165
31 St & Newtown Ave,Newtown Ave & 23 St,1997,40.767548,-73.92094,40.771362,-73.924614
Central Park West & W 72 St,7 Ave & Central Park South,1992,40.775795,-73.976204,40.76674,-73.97907
2 Ave & E 96 St,E 102 St & 1 Ave,1989,40.783962,-73.94717,40.786995,-73.94165
Central Park W & W 97 St,Central Park W & W 97 St,1986,40.792496,-73.96417,40.792496,-73.96417
Columbus Ave & W 72 St,Columbus Ave & W 72 St,1980,40.777058,-73.97898,40.777058,-73.97898
7 Ave & Central Park South,Central Park West & W 72 St,1979,40.76674,-73.97907,40.775795,-73.976204
Monroe St & Tompkins Ave,Macon St & Nostrand Ave,1976,40.686203,-73.944695,40.680984,-73.95005
University Pl & E 14 St,Broadway & E 14 St,1973,40.734814,-73.99209,40.734547,-73.99074
West End Ave & W 60 St,West End Ave & W 60 St,1971,40.77237,-73.99005,40.77237,-73.99005
8 Ave & W 16 St,8 Ave & W 31 St,1968,40.740982,-74.0017,40.750584,-73.99468
Broadway & W 58 St,Grand Army Plaza & Central Park S,1964,40.766953,-73.9817,40.764397,-73.97372
Adelphi St & Myrtle Ave,Willoughby St & Fleet St,1957,40.69308,-73.97179,40.691967,-73.9813
1 Ave & E 18 St,1 Ave & E 16 St,1950,40.73381,-73.980545,40.73222,-73.98166
Broadway & E 14 St,Washington Pl & Broadway,1937,40.734547,-73.99074,40.72904,-73.99405
1 Ave & E 16 St,1 Ave & E 18 St,1934,40.73222,-73.98166,40.73381,-73.980545
Ave A & E 14 St,E 9 St & Avenue C,1932,40.730312,-73.98047,40.725212,-73.977684
Clinton St & Cherry St,Clinton St & Grand St,1931,40.71147,-73.986725,40.715595,-73.98703
West St & Liberty St,Pier 40 - Hudson River Park,1930,40.711445,-74.01485,40.727715,-74.0113
Little West St & 1 Pl,Little West St & 1 Pl,1929,40.705692,-74.01678,40.705692,-74.01678
Broadway & Berry St,Broadway & Roebling St,1928,40.710445,-73.96525,40.709248,-73.96063
Washington St & Gansevoort St,West St & Chambers St,1925,40.739323,-74.00812,40.71755,-74.01322
Leonard St & Nassau Ave,Kingsland Ave & Nassau Ave,1923,40.723957,-73.949844,40.72577,-73.94173
E 1 St & 1 Ave,E 2 St & Avenue C,1922,40.723354,-73.98865,40.720875,-73.98086
W 30 St & 10 Ave,W 30 St & 10 Ave,1921,40.752693,-74.00235,40.752693,-74.00235
W 22 St & 10 Ave,W 22 St & 10 Ave,1917,40.746918,-74.00452,40.746918,-74.00452
Grand Army Plaza & Central Park S,Central Park West & W 72 St,1912,40.764397,-73.97372,40.775795,-73.976204
W 54 St & 11 Ave,W 54 St & 11 Ave,1911,40.768333,-73.99258,40.768333,-73.99258
E 33 St & 1 Ave,E 32 St & Park Ave,1911,40.743225,-73.974495,40.745712,-73.98195
1 Ave & E 68 St,E 84 St & 1 Ave,1904,40.765007,-73.95818,40.775654,-73.95068
46 Ave & 5 St,44 Dr & Jackson Ave,1902,40.74731,-73.95451,40.74718,-73.94326
1 Ave & E 16 St,E 27 St & 1 Ave,1902,40.73222,-73.98166,40.739445,-73.97681
Lenox Ave & W 111 St,Lenox Ave & W 111 St,1897,40.798786,-73.9523,40.798786,-73.9523
3 St & Prospect Park West,Plaza St West & Flatbush Ave,1896,40.668133,-73.97364,40.675022,-73.971115
West St & Chambers St,Little West St & 1 Pl,1892,40.71755,-74.01322,40.705692,-74.01678
W 70 St & Amsterdam Ave,W 70 St & Amsterdam Ave,1890,40.77748,-73.98289,40.77748,-73.98289
Driggs Ave & Lorimer St,Driggs Ave & N 9 St,1888,40.72179,-73.95042,40.71817,-73.9552
5 Ave & E 103 St,5 Ave & E 103 St,1884,40.792255,-73.9525,40.792255,-73.9525
Broadway & E 21 St,University Pl & E 14 St,1880,40.739887,-73.989586,40.734814,-73.99209
E 2 St & Avenue B,E 1 St & 1 Ave,1874,40.722176,-73.98369,40.723354,-73.98865
7 Ave & Central Park South,5 Ave & E 72 St,1873,40.76674,-73.97907,40.772827,-73.96685
W 22 St & 10 Ave,Broadway & E 21 St,1873,40.746918,-74.00452,40.739887,-73.989586
8 Ave & W 16 St,W 20 St & 10 Ave,1867,40.740982,-74.0017,40.745686,-74.00514
West St & Liberty St,Vesey Pl & River Terrace,1864,40.711445,-74.01485,40.71534,-74.01659
6 Ave & W 33 St,W 42 St & 6 Ave,1864,40.749012,-73.98849,40.75492,-73.98455
Ave A & E 14 St,E 2 St & Avenue A,1864,40.730312,-73.98047,40.723076,-73.98584
Broadway & W 56 St,W 54 St & 11 Ave,1854,40.765266,-73.981926,40.768333,-73.99258
3 St & 7 Ave,7 Ave & Park Pl,1854,40.670383,-73.97839,40.677616,-73.97324
W 34 St &\tHudson Blvd E,11 Ave & W 41 St,1847,40.75517,-74.0006,40.7603,-73.99884
1 Ave & E 78 St,1 Ave & E 78 St,1844,40.771404,-73.953514,40.771404,-73.953514
7 Ave & Central Park South,Central Park North & Adam Clayton Powell Blvd,1844,40.76674,-73.97907,40.799484,-73.95561
2 Ave & E 104 St,2 Ave & E 96 St,1835,40.78921,-73.94371,40.783962,-73.94717
Newtown Ave & 23 St,31 St & Newtown Ave,1832,40.771362,-73.924614,40.767548,-73.92094
