station_name,lat,lon,geo_zone,total_trips
E 10 St & 2 Ave,40.72971,-73.986595,11,91715.0
1 Ave & E 30 St,40.741444,-73.97536,17,91405.0
Spring St & Hudson St,40.72584,-74.00765,10,90789.0
W 11 St & 6 Ave,40.735325,-73.998,18,90767.0
E 53 St & Lexington Ave,40.75828,-73.970695,21,90423.0
Broadway & Berry St,40.710445,-73.96525,3,89844.0
West Drive & Prospect Park West,40.661064,-73.979454,6,89827.0
Stanton St & Chrystie St,40.722294,-73.99148,2,88781.0
W 64 St & Thelonious Monk Circle,40.775158,-73.98919,1,88267.0
E 13 St & Avenue A,40.729668,-73.98068,11,88048.0
E 22 St & 2 Ave,40.737167,-73.981224,17,87891.0
S 3 St & Bedford Ave,40.712605,-73.96265,3,87381.0
W 55 St & 6 Ave,40.763187,-73.97843,12,87216.0
E 39 St & Lexington Ave,40.7495,-73.977295,24,87129.0
E 6 St & Avenue B,40.724537,-73.98186,20,86703.0
West Thames St,40.708347,-74.017136,8,86563.0
E 27 St & Park Ave S,40.742752,-73.98472,0,86562.0
Barrow St & Hudson St,40.731724,-74.006744,10,86464.0
Stanton St & Norfolk St,40.72075,-73.986275,20,86223.0
Queens Plaza North & Crescent St,40.751102,-73.940735,7,85678.0
Rivington St & Ridge St,40.718502,-73.9833,20,85387.0
5 Ave & E 29 St,40.745167,-73.98683,0,84673.0
Berry St & N 8 St,40.71901,-73.95853,3,84587.0
E 32 St & Park Ave,40.745712,-73.98195,0,84572.0
Ave A & E 11 St,40.728546,-73.98176,11,84421.0
Fulton St & Broadway,40.711067,-74.009445,8,83669.0
Madison Ave & E 26 St,40.742683,-73.98671,0,83613.0
Forsyth St & Canal St,40.715816,-73.994225,2,83057.0
St Marks Pl & 1 Ave,40.72779,-73.98565,11,82840.0
Riverside Dr & W 72 St,40.78058,-73.98563,1,82469.0
Milton St & Franklin St,40.72906,-73.95779,3,82457.0
W 12 St & Hudson St,40.73753,-74.00559,10,82276.0
Murray St & Greenwich St,40.71485,-74.01122,8,82153.0
W 42 St & Dyer Ave,40.758984,-73.9938,22,81758.0
E 9 St & 5 Ave,40.732758,-73.99582,18,81589.0
Fulton St & Adams St,40.692417,-73.989494,19,81490.0
Perry St & Greenwich Ave,40.735916,-74.00094,10,81338.0
E 58 St & 3 Ave,40.760956,-73.96725,21,81317.0
E 11 St & Avenue B,40.727463,-73.97951,11,81200.0
W 84 St & Columbus Ave,40.785,-73.97283,23,80555.0
Lexington Ave & E 29 St,40.743114,-73.982155,0,80495.0
E 41 St & Madison Ave (SE corner),40.75205,-73.97964,24,80127.0
E 47 St & 2 Ave,40.75323,-73.97032,21,80117.0
E 91 St & 2 Ave,40.781155,-73.94963,13,79651.0
E 5 St & Ave A,40.72479,-73.9843,20,79311.0
Mercer St & Spring St,40.72363,-73.9995,2,79310.0
W 34 St &\tHudson Blvd E,40.75517,-74.0006,15,79052.0
Frederick Douglass Blvd & W 117 St,40.80516,-73.95469,14,78948.0
Lexington Ave & E 36 St,40.747574,-73.9788,24,78748.0
3 Ave & E 62 St,40.763126,-73.96527,21,78736.0
E 6 St & Avenue D,40.722282,-73.976685,20,78701.0
Central Park W & W 97 St,40.792496,-73.96417,5,78673.0
E 84 St & 1 Ave,40.775654,-73.95068,13,78560.0
Perry St & Bleecker St,40.735355,-74.00483,10,78357.0
W 36 St & 9 Ave,40.754623,-73.99517,15,77268.0
W 100 St & Broadway,40.79737,-73.97041,5,77150.0
Columbus Ave & W 95 St,40.791954,-73.96809,5,77140.0
Frederick Douglass Blvd & W 112 St,40.801693,-73.957146,14,77140.0
Driggs Ave & N 9 St,40.71817,-73.9552,3,76621.0
W 56 St & 6 Ave,40.763405,-73.97723,12,76566.0
E 19 St & 3 Ave,40.736244,-73.98474,0,76140.0
MacDougal St & Washington Sq,40.732265,-73.99852,10,76038.0
Central Park West & W 76 St,40.77897,-73.97375,23,75710.0
Mercer St & Bleecker St,40.727062,-73.99662,2,75439.0
Rivington St & Chrystie St,40.7211,-73.99193,2,75392.0
5 Ave & E 93 St,40.785786,-73.95748,13,75239.0
E 25 St & 1 Ave,40.73818,-73.97739,17,75145.0
E 9 St & Avenue C,40.725212,-73.977684,11,74374.0
W 37 St & 5 Ave,40.75038,-73.98339,24,74308.0
Centre St & Worth St,40.714947,-74.00234,2,74081.0
Madison Av & E 51 St,40.75863,-73.97513,12,73947.0
Bergen St & Vanderbilt Ave,40.67944,-73.96804,6,73636.0
W 50 St & 9 Ave,40.763603,-73.98918,22,73512.0
E 55 St & 2 Ave,40.757973,-73.966034,21,72957.0
Orchard St & Grand St,40.71732,-73.99068,2,72864.0
Lispenard St & Broadway,40.71939,-74.00247,2,72796.0
Kenmare St & Elizabeth St,40.72054,-73.9949,2,72689.0
E 7 St & Ave B,40.72513,-73.981316,11,72575.0
Bayard St & Baxter St,40.716022,-73.99974,2,72218.0
E 53 St & Madison Ave,40.759712,-73.97402,12,72067.0
