date,bike_rides_daily,avgTemp
2022-12-15,44106,2.7
2022-12-16,28414,6.2
2022-12-17,59369,5.0
2022-12-18,48245,3.1
2022-12-19,54328,1.6999999999999997
2022-12-20,58639,1.9
2022-12-21,59180,1.0
2022-12-22,39131,3.8
2022-12-23,26043,7.5
2022-12-24,11542,-11.7
2022-12-25,9164,-6.9
2022-12-26,19221,-4.7
2022-12-27,33044,-0.7
2022-12-28,44027,3.4
2022-12-29,51674,6.4
2022-12-30,62298,9.3
2022-12-31,31466,8.2
